day,event.x,event.y,country,search,date
29/2/20,,,aus,0,2020-02-29
29/2/20,,,uk,36,2020-02-29
1/3/20,,,aus,48,2020-03-01
1/3/20,,,uk,0,2020-03-01
2/3/20,,,aus,0,2020-03-02
2/3/20,,,uk,33,2020-03-02
3/3/20,,,aus,42,2020-03-03
3/3/20,,,uk,67,2020-03-03
4/3/20,,,aus,42,2020-03-04
4/3/20,,,uk,50,2020-03-04
5/3/20,,,aus,42,2020-03-05
5/3/20,,,uk,51,2020-03-05
6/3/20,,,aus,47,2020-03-06
6/3/20,,,uk,35,2020-03-06
7/3/20,,,aus,0,2020-03-07
7/3/20,,,uk,0,2020-03-07
8/3/20,,,aus,49,2020-03-08
8/3/20,,,uk,35,2020-03-08
9/3/20,,,aus,0,2020-03-09
9/3/20,,,uk,32,2020-03-09
10/3/20,,,aus,42,2020-03-10
10/3/20,,,uk,33,2020-03-10
11/3/20,,,aus,0,2020-03-11
11/3/20,,,uk,33,2020-03-11
12/3/20,WHO classifies COVID-19 a pandemic,WHO classifies COVID-19 a pandemic,aus,41,2020-03-12
12/3/20,WHO classifies COVID-19 a pandemic,WHO classifies COVID-19 a pandemic,uk,32,2020-03-12
13/3/20,,,aus,45,2020-03-13
13/3/20,,,uk,34,2020-03-13
14/3/20,,,aus,0,2020-03-14
14/3/20,,,uk,36,2020-03-14
15/3/20,,,aus,0,2020-03-15
15/3/20,,,uk,35,2020-03-15
16/3/20,,,aus,42,2020-03-16
16/3/20,,,uk,44,2020-03-16
17/3/20,,,aus,83,2020-03-17
17/3/20,,,uk,43,2020-03-17
18/3/20,,,aus,98,2020-03-18
18/3/20,,,uk,0,2020-03-18
19/3/20,,,aus,41,2020-03-19
19/3/20,,,uk,55,2020-03-19
20/3/20,,,aus,44,2020-03-20
20/3/20,,,uk,32,2020-03-20
21/3/20,,,aus,48,2020-03-21
21/3/20,,,uk,70,2020-03-21
22/3/20,,,aus,43,2020-03-22
22/3/20,,,uk,48,2020-03-22
23/3/20,,,aus,98,2020-03-23
23/3/20,,,uk,65,2020-03-23
24/3/20,,,aus,58,2020-03-24
24/3/20,,,uk,41,2020-03-24
25/3/20,,,aus,100,2020-03-25
25/3/20,,,uk,94,2020-03-25
26/3/20,,,aus,40,2020-03-26
26/3/20,,,uk,53,2020-03-26
27/3/20,,,aus,42,2020-03-27
27/3/20,,,uk,30,2020-03-27
28/3/20,,,aus,92,2020-03-28
28/3/20,,,uk,100,2020-03-28
29/3/20,,,aus,42,2020-03-29
29/3/20,,,uk,69,2020-03-29
